Name	foldEnrichment
chr2:74941740-74943270	68.65
chr17:79075158-79076136	68.63
chr19:19477279-19478259	68.44
chr15:83011434-83012232	68.44
chr13:29393225-29395061	68.33
chr9:65576070-65577424	68.33
chr22:34500995-34502110	68.33
chr21:32211541-32212144	68.33
chr11:45864514-45865140	68.33
chr6:34022683-34023783	68.28
chr2:223555332-223555905	68.28
chrX:16853670-16855157	68.14
chr15:77924252-77927417	67.97
chr2:127643588-127644520	67.97
chr16:71576141-71576703	67.92
chr17:27229007-27230900	67.79
chr17:4692699-4694220	67.79
chr8:20238061-20238643	67.79
chr18:43302744-43303230	67.79
chr12:42631059-42632908	67.76
chr21:34732812-34734703	67.69
chr1:204910643-204911504	67.65
chr10:82423762-82424376	67.63
chr8:48078796-48079479	67.62
chr2:186603385-186604179	67.62
chr9:110103372-110103873	67.62
chr1:205304461-205305402	67.55
chr11:71524368-71525316	67.35
chr7:142911944-142912540	67.28
chr10:7728921-7729953	67.24
chr21:31713116-31713879	67.23
chr11:7557166-7557889	67.23
chr2:98422961-98423757	67.23
chr3:131929608-131930086	67.23
chr17:158734-159898	67.04
chr3:13691485-13692642	67.04
chr5:177318600-177319475	67.04
chr16:71400994-71401929	67.04
chr2:1542374-1543087	67.01
chr5:137687768-137689733	66.99
chr14:23589770-23591834	66.77
chr14:24577878-24578488	66.77
chr1:50737396-50738237	66.77
chr22:16166175-16166975	66.48
chr17:21022780-21023318	66.48
chr3:126107898-126108995	66.27
chr16:14835909-14836894	66.22
chr11:75416964-75417911	66.18
chr10:129833667-129834467	66.18
chr9:86152681-86154023	66.14
chr1:209508192-209508997	66.12
chr2:165871521-165872166	66.12
chr1:193038954-193039595	66.12
chr9:139117721-139119109	66.11
chr20:58508836-58509663	66.11
chr1:207250944-207251490	66.11
chr11:45676696-45677474	66.01
chr9:124082329-124082745	65.95
chr3:184520824-184521463	65.95
chr6:11575631-11576382	65.95
chr12:78319140-78319995	65.94
chr1:198668377-198669026	65.9
chr15:84961150-84962992	65.83
chr5:58663405-58664074	65.71
chr16:1413334-1414053	65.7
chr11:111472589-111473382	65.29
chr2:176943989-176945569	65.18
chr14:75761331-75763317	65.18
chr2:70994380-70995884	65.18
chr2:111333973-111335258	65.18
chr1:210023599-210024380	65.18
chr15:41074714-41075262	65.18
chr18:71749481-71750132	65.18
chr16:90014943-90015319	65.18
chr18:74110881-74111286	65.18
chr22:33975178-33976053	65.18
chr16:46707171-46707905	65.18
chr2:153572347-153572755	65.18
chr6:25556681-25557190	65.18
chr15:27083918-27084371	65.18
chr7:23736509-23737121	65.02
chrX:37684317-37685036	65.02
chr2:103232191-103232829	65.02
chr3:52016374-52017583	64.85
chr7:98245986-98247433	64.81
chr2:73404241-73405458	64.68
chr17:16356372-16357045	64.66
chr2:3427458-3428304	64.64
chr7:43622089-43624883	64.61
chr7:156701355-156702016	64.59
chr11:129233906-129234677	64.53
chr3:150802876-150805286	64.47
chr20:58786087-58786688	64.41
chr1:28286061-28287141	64.36
chr2:241580287-241580924	64.36
chr12:14782866-14783401	64.31
chr22:42142447-42143192	64.3
chr17:72744183-72746727	64.28
chr3:8810734-8811578	64.28
chr2:127807513-127808404	64.27
chr2:121493028-121495255	64.25
chr2:42890249-42890830	64.25
chr2:128615358-128616114	64.23
chr10:134165293-134167011	64.18
chr21:39047295-39048162	64.18
chr10:80417093-80417755	64.18
chr17:47485005-47486093	64.14
chr17:39485218-39486226	64.09
chr5:129188324-129188998	64.09
chr8:143069832-143070280	64.09
chr6:70506133-70507372	64.08
chr21:47016283-47017350	63.96
chr6:25992680-25993976	63.94
chr16:34726448-34727157	63.92
chr4:154006012-154006894	63.92
chr6:71078833-71079639	63.92
chr11:2177430-2178308	63.92
chr11:46148459-46149085	63.92
chr2:131720724-131722714	63.81
chr22:25453022-25453835	63.81
chr12:99436995-99437716	63.79
chr19:42923855-42925144	63.73
chr17:32869545-32870324	63.71
chr14:92559467-92560159	63.69
chr17:43212614-43213602	63.67
chr12:119882030-119882734	63.65
chr6:110026310-110026913	63.56
chr17:69760436-69761304	63.56
chr15:90189932-90191062	63.55
chr3:56528724-56529363	63.55
chr20:50767085-50767803	63.53
chr11:2951204-2952611	63.48
chr2:110551428-110552626	63.44
chr9:22446675-22447854	63.44
chr11:2420849-2422130	63.37
chr20:60462156-60462899	63.32
chr2:97625900-97626763	63.32
chr7:73689400-73690169	63.32
chr5:111828011-111828570	63.32
chr7:8476084-8476988	63.28
chr16:31116831-31117647	63.27
chr6:153552027-153552645	63.21
chr10:32634829-32636027	63.17
chr12:29705305-29705766	63.17
chr1:85574955-85575579	63.17
chr16:22584319-22585073	63.09
chr12:48135782-48136672	63.04
chr8:81599137-81599845	63.02
chr17:79994306-79995794	63.01
chr12:127765159-127765803	63.01
chr16:83960175-83961030	63.01
chr1:206310075-206310956	63.01
chr5:68914058-68914878	63.01
chr14:100461868-100462591	63.01
chr18:58989515-58990033	63.01
chr16:2389498-2391377	62.96
chr12:58298693-58299673	62.96
chr10:102321433-102322389	62.91
chr1:111572897-111573769	62.82
chr8:2368078-2368620	62.82
chr2:158348550-158349313	62.82
chr4:114199295-114199903	62.82
chrX:62470010-62470517	62.82
chr12:62604128-62604474	62.82
chr13:108302365-108302820	62.82
chr3:137511484-137512029	62.82
chr7:72866008-72866507	62.82
chr22:21737408-21740090	62.81
chr9:95526938-95528207	62.77
chr1:47901927-47904486	62.76
chr15:32739185-32739905	62.76
chr19:18499069-18499839	62.67
chr8:5934201-5935004	62.61
chr10:43699386-43701157	62.57
chr1:8035107-8035780	62.54
chr12:328700-329795	62.43
chr12:54772689-54774040	62.41
chr20:23779700-23780722	62.39
chr1:97311019-97311438	62.39
chr1:6304734-6306430	62.35
chr3:197894420-197894877	62.35
chr14:21560416-21561261	62.33
chr20:43922024-43923004	62.31
chr22:23744220-23745444	62.28
chr1:156931211-156932081	62.28
chr12:27884999-27886328	62.17
chr11:76756643-76757657	62.11
chr6:125420617-125421276	62.11
chr7:129016085-129016885	62.08
chr9:138304136-138305060	62.05
chr10:128286563-128287211	62.03
chr11:5621524-5621991	62.02
chr19:10229576-10231234	61.92
chr13:77553860-77554705	61.92
chr8:97339926-97340613	61.92
chr7:25138038-25138608	61.92
chr9:112231691-112232305	61.92
chr1:159975876-159976498	61.75
chr2:120460282-120460914	61.75
chr9:43684495-43685614	61.72
chr9:74061227-74062391	61.72
chr15:88817495-88818393	61.72
chr2:20525666-20526385	61.72
chr9:103200130-103200691	61.72
chr14:59973945-59974412	61.72
chr2:128348801-128349626	61.62
chr11:61213473-61214137	61.55
chr18:31804346-31805367	61.54
chr3:148708725-148709557	61.47
chr12:63327697-63329512	61.36
chr13:111471346-111472222	61.34
chr6:91102854-91103439	61.24
chr10:102295111-102296008	61.21
chr1:90270065-90270556	61.2
chr19:7989930-7992823	61.19
chr15:98835559-98837078	61.17
chr2:152881819-152882977	61.17
chr13:110436638-110438362	61.13
chr2:232513097-232513715	61.11
chr2:178119081-178119506	61.09
chr6:40554447-40556660	61.08
chr20:59827442-59829377	61.08
chr9:136647299-136647819	61.06
chr22:23029926-23030674	61.06
chr2:85413115-85413898	61.04
chr17:17044930-17045901	61.03
chr6:35261900-35262749	61.03
chr8:143705066-143705966	61.02
chrX:17878228-17879765	61
chr15:39109733-39110367	60.95
chr11:71503543-71504338	60.89
chr7:99814524-99816150	60.83
chr1:1875191-1876080	60.83
chr10:47627130-47628190	60.83
chr10:29737562-29738783	60.83
chr17:31376541-31377516	60.83
chr11:116087495-116088096	60.83
chr2:102637051-102637679	60.83
chr7:99941704-99943273	60.7
chr17:48216811-48218051	60.67
chr19:50982189-50982931	60.64
chr19:50917792-50918577	60.64
chr10:35852187-35852812	60.64
chr13:31773602-31775182	60.61
chr11:44087348-44088165	60.61
chr9:71199335-71200389	60.61
chr2:239991465-239992044	60.61
chr11:68351201-68352077	60.61
chr11:131557678-131558483	60.61
chr6:9250865-9251489	60.61
chr8:2312813-2313179	60.61
chr1:77366693-77367257	60.61
chr8:119755872-119756254	60.61
chr7:150475274-150476167	60.59
chr21:39590892-39591506	60.58
chr17:47646845-47648458	60.55
chr11:980613-981286	60.53
chr11:72296513-72297332	60.52
chr9:27888578-27889310	60.52
chr10:97134165-97134918	60.49
chr18:864764-865154	60.44
chr20:1446750-1448066	60.29
chr22:42564455-42565624	60.29
chr15:45329062-45329727	60.29
chr6:43110900-43111897	60.21
chr17:3586033-3586999	60.17
chr5:176296338-176297528	60.17
chr11:65392037-65393901	59.96
chr19:54295951-54296861	59.96
chr8:52920970-52921655	59.96
chr20:31683476-31684304	59.96
chr18:8478435-8479306	59.96
chr7:91808098-91808617	59.96
chr17:41923401-41924194	59.87
chr14:107280588-107281876	59.86
chr3:133931649-133932380	59.86
chr15:25955008-25955784	59.85
chr15:88993214-88994002	59.84
chr3:52156973-52157779	59.81
chr12:56519778-56520551	59.79
chr7:107749475-107750298	59.79
chr2:132249134-132250950	59.78
chr6:44119132-44120197	59.71
chr10:78071243-78072098	59.71
chr20:18612601-18613210	59.64
chr14:55517881-55519038	59.59
chr7:1513439-1514831	59.59
chr15:30441978-30442890	59.59
chr8:9688224-9689172	59.59
chr16:60013-62452	59.54
chr3:169379168-169381533	59.51
chr17:79916428-79919653	59.51
chr11:134945356-134946104	59.51
chr2:20490575-20491238	59.51
chr11:75142959-75143654	59.51
chr3:139072550-139073160	59.51
chr11:30217955-30218481	59.51
chr10:28530611-28531180	59.51
chr11:123581986-123582354	59.51
chr7:38255324-38255685	59.51
chr12:64237068-64239303	59.48
chr17:41386121-41387635	59.48
chr14:34800646-34801408	59.44
chr1:68000876-68001713	59.4
chr18:77005479-77006985	59.39
chr15:40571487-40572231	59.39
chr6:73121410-73122542	59.31
chr5:43105392-43106473	59.25
chr7:20824175-20825225	59.16
chr19:51975959-51976778	59.16
chr18:72608306-72608856	59.16
chr8:23145088-23146525	59.12
chr14:104544104-104544811	59.04
chrX:83100394-83100961	59.04
chr7:75807190-75807998	59
chr17:66168342-66169071	58.97
chr1:32429440-32430554	58.89
chr17:37777989-37780282	58.84
chr10:96122196-96123261	58.66
chr8:72755748-72756958	58.66
chr15:40337019-40337913	58.66
chr11:125011421-125012187	58.66
chr20:1946113-1946736	58.57
chr1:226520926-226521536	58.41
chrX:62347934-62348600	58.41
chrX:50490552-50491165	58.41
chr1:152319632-152320041	58.41
chr7:44121564-44122800	58.4
chr22:51170274-51171204	58.35
chr15:91444878-91447794	58.34
chr1:1977713-1978504	58.32
chr6:90081550-90082410	58.32
chr5:69769418-69770114	58.32
chr6:30098657-30099302	58.3
chr1:9686820-9687765	58.28
chr15:55699882-55701108	58.28
chr19:14590587-14592101	58.23
chr17:19265440-19267107	58.23
chr6:37659460-37660436	58.23
chr21:31221784-31222597	58.23
chr4:183859156-183859722	58.23
chr19:17345788-17347071	58.22
chr1:154989513-154990699	58.21
chr16:146632-147524	58.2
chr1:226384537-226385284	58.2
chr11:58291368-58292583	58.16
chr14:106626588-106627518	58.16
chr11:75308512-75309081	58.16
chr13:24464199-24464800	58.16
chr16:66906800-66907787	58.07
chr8:144461593-144462352	58.04
chr1:228327097-228329034	58
chr14:70002010-70002386	57.99
chr17:36293166-36294949	57.94
chr17:62772361-62773754	57.94
chr16:12548927-12549732	57.94
chr1:196692310-196693043	57.94
chr14:70540494-70541099	57.93
chr13:113596768-113598378	57.91
chr6:72595858-72597210	57.85
chr7:72738005-72738991	57.83
chr12:50081338-50082395	57.8
chr2:232765114-232766251	57.78
chrX:110811301-110812051	57.76
chr1:119817839-119818699	57.73
chr3:184135363-184136101	57.57
chr16:9391137-9391776	57.57
chr16:67678342-67679217	57.51
chr1:16301624-16302782	57.48
chr16:74846708-74847537	57.48
chr9:68476756-68478159	57.43
chr21:40889931-40890815	57.36
chr6:89490432-89490946	57.31
chr16:19234393-19235182	57.31
chr18:11553189-11553888	57.31
chr14:79064164-79064934	57.31
chr6:72927811-72928436	57.31
chr11:7569883-7570472	57.31
chr3:170217130-170217703	57.31
chr12:131939130-131939950	57.26
chr3:5163588-5165626	57.24
chr9:137580702-137582002	57.24
chr10:76993389-76996327	57.23
chr16:89926896-89927848	57.21
chr16:81437111-81437838	57.21
chr3:12235911-12236500	57.21
chrUn_gl000219:125197-125640	57.21
chr11:110333910-110334228	57.18
chr1:26221635-26223255	57.11
chr1:68808191-68808920	57.1
chr13:51860327-51861160	57.08
chr2:131555038-131556930	57.03
chr6:159125000-159125901	57.03
chr3:38692419-38693206	57.03
chr18:61603316-61604032	57.03
chr15:84506589-84507213	57.03
chr1:155219802-155221247	56.99
chr19:14666876-14668018	56.97
chr12:42765829-42766463	56.9
chr1:156065874-156066962	56.88
chr5:69696413-69698440	56.86
chr11:66131018-66132241	56.74
chr6:134432132-134432798	56.74
chr10:82422209-82422956	56.74
chr12:55073934-55074682	56.71
chr20:23059312-23060235	56.68
chr12:131588938-131589812	56.66
chr2:233388325-233389841	56.63
chr10:47150695-47152072	56.62
chr22:29640760-29642272	56.57
chr16:88803075-88804416	56.49
chr15:90863220-90863669	56.49
chr15:29431705-29432939	56.49
chr7:30266168-30266864	56.49
chr15:45145397-45146118	56.49
chr9:101553111-101554032	56.46
chr21:31806312-31806997	56.34
chr8:28602563-28603054	56.3
chr5:923241-924153	56.29
chr19:48202280-48203187	56.29
chr21:28088176-28088854	56.26
chr16:22217196-22218920	56.22
chr11:2215962-2216645	56.22
chr1:112024073-112025270	56.22
chr15:28769505-28770280	56.21
chr2:95980408-95981378	56.21
chr2:208905374-208905948	56.21
chr2:99217843-99218610	56.21
chr11:101567326-101568103	56.21
chr13:95326938-95327691	56.21
chr13:77477582-77478063	56.21
chr17:32001393-32002207	56.21
chr7:123341429-123341905	56.21
chr7:127144621-127145296	56.18
chrX:10087449-10088189	56.15
chrX:69250147-69250906	56.14
chr5:21341022-21342376	56.11
chr5:10987974-10988717	56.11
chr4:83660243-83660936	56.05
chr20:49836605-49837388	56.05
chr19:860394-861107	56.02
chr2:75146601-75147714	55.87
chr9:104211282-104212254	55.87
chr12:3182425-3183210	55.87
chr9:129622323-129623756	55.87
chr3:140910893-140911780	55.87
chr9:130160148-130160749	55.87
chr11:68780635-68781562	55.87
chr9:16192039-16192804	55.87
chr15:92249437-92250175	55.87
chr20:38502622-38503233	55.85
chr1:211649352-211650167	55.85
chr5:35924857-35925599	55.83
chr10:116063445-116065634	55.79
chr2:119639985-119640828	55.76
chr2:85527304-85528066	55.75
chr5:2038503-2039573	55.74
chr22:21239549-21240419	55.74
chr20:5203353-5204191	55.62
chr2:30934386-30935042	55.58
chr14:106411551-106412187	55.56
chr12:53552856-53554454	55.52
chr2:9939557-9940450	55.52
chr11:67415368-67416034	55.45
chr9:34663919-34664835	55.4
chr11:61021660-61022508	55.4
chr1:59118147-59118636	55.4
chr6:100449762-100450349	55.4
chr5:80802582-80803110	55.4
chr19:45664992-45666126	55.33
chr17:41955676-41956389	55.3
chr16:12354218-12355046	55.25
chr1:58628378-58629189	55.15
chr2:65267588-65268340	55.15
chr6:41743558-41744284	55.11
chr10:110304145-110304853	55.1
chr2:152447788-152448272	55.1
chr2:173892189-173892767	55.1
chr7:64593350-64593871	55.1
chr2:208556889-208557477	55.1
chr2:75855005-75855523	55.1
chr2:228336340-228338138	55.06
chr1:21596330-21597290	55.04
chr3:136470190-136472256	55.04
chr7:76067032-76067734	55.04
chr2:179565600-179566021	55.01
chr21:32470425-32471534	54.98
chr11:6374323-6375095	54.94
chr7:36330906-36331728	54.94
chr8:13402026-13402756	54.94
chr15:32732212-32733244	54.89
chr1:85218976-85219839	54.89
chr2:191183786-191185046	54.79
chr22:23727730-23728712	54.75
chr11:68811500-68812174	54.7
chr16:2976784-2977613	54.65
chr12:100557313-100558180	54.63
chr20:48225086-48226051	54.56
chr8:19170145-19172309	54.51
chr12:109869341-109871286	54.51
chr17:19665587-19666511	54.51
chr14:77336241-77337090	54.48
chrX:64748121-64749238	54.47
chr14:50778275-50779912	54.44
chr10:24485123-24485966	54.44
chr10:44185331-44186533	54.41
chr19:45751623-45752310	54.41
chr12:57632529-57633590	54.39
chr12:4957934-4958668	54.39
chr10:99472544-99475122	54.32
chr10:98970172-98971139	54.32
chr2:113357624-113358137	54.32
chr8:120779764-120780643	54.32
chr3:157324183-157325020	54.32
chr4:88906633-88907316	54.31
chr12:102224054-102225188	54.25
chr11:66175805-66177033	54.22
chr17:56664783-56665657	54.2
chr16:74463777-74464592	54.17
chr7:36710126-36710895	54.15
chr2:31392759-31393554	54.15
chr1:157465703-157466287	54.14
chr2:159313303-159315284	54.1
chr9:141120957-141121890	54.1
chr2:239082101-239082689	54.07
chr15:72491726-72492683	54.06
chr22:22067185-22068066	54.01
chrX:55083934-55084653	54.01
chr11:11287383-11288184	54.01
chr4:185932368-185933129	54.01
chr2:110303532-110304020	54.01
chr4:2956199-2957663	54
chr2:207854060-207854707	54
chrX:12287354-12288052	54
chr2:192578424-192579185	54
chr6:161919348-161920049	54
chr2:7177885-7178393	54
chr8:142098391-142099182	53.91
chr2:111158792-111159171	53.88
chr15:82824555-82825433	53.87
chr12:34275874-34276608	53.74
chr8:104510780-104513311	53.73
chr7:912913-913515	53.71
chr7:25018205-25020765	53.68
chr9:94496612-94497269	53.68
chr15:51424936-51425538	53.68
chr17:62023852-62024704	53.68
chr17:3816831-3817746	53.65
chr6:721875-722433	53.63
chr12:7959491-7959919	53.61
chr8:10275135-10275776	53.59
chr16:19918560-19919322	53.59
chr17:45920212-45921164	53.54
chr8:22094764-22095328	53.52
chr19:1064634-1066128	53.48
chr20:5509513-5510816	53.45
chr1:20688067-20688968	53.4
chr20:35820369-35821228	53.38
chr7:151479014-151480765	53.37
chr14:24057992-24058905	53.28
chr5:72063272-72063996	53.23
chr5:15598325-15598997	53.23
chr12:15373314-15374809	53.19
chr17:33468522-33469734	53.19
chr14:99786173-99787096	53.15
chr6:97945523-97946065	53.15
chr1:29658528-29659157	53.14
chr8:8090970-8091670	53.11
chr1:174998581-174999375	53.11
chr15:51177898-51178554	53.1
chr3:32218621-32219860	53.01
chr2:119931779-119932372	52.96
chr9:113798740-113799245	52.96
chr22:31741164-31742861	52.92
chr20:8112199-8113767	52.9
chr18:19958473-19959329	52.9
chr15:38681946-38682735	52.9
chr18:49814580-49815330	52.9
chr3:149110982-149111717	52.9
chr13:21871130-21871514	52.9
chr14:22668836-22669372	52.9
chr4:159651123-159651474	52.9
chr17:12927238-12928400	52.87
chr20:36984673-36985421	52.87
chr21:27253633-27254617	52.87
chr7:97650790-97651522	52.87
chr14:23952233-23953192	52.84
chrX:110341788-110342729	52.83
chr14:77250835-77251764	52.79
chr9:34701926-34702745	52.79
chr12:69684193-69685254	52.78
chr6:41336239-41337211	52.76
chr1:9555034-9556078	52.73
chr12:131400492-131401685	52.71
chr1:35251846-35252709	52.69
chr20:29591235-29592115	52.69
chr1:205399573-205400472	52.66
chr19:48992755-48993470	52.66
chr6:130257653-130258026	52.65
chrX:102118472-102119265	52.61
chr14:106877263-106878113	52.55
chr17:1551410-1553801	52.53
chr2:113190760-113191675	52.53
chr19:4624608-4625402	52.52
chr1:149575222-149578015	52.47
chr5:7896974-7897700	52.31
chr12:6148990-6149804	52.29
chr5:16550200-16550866	52.17
chr17:26219689-26220784	52.15
chr17:7982431-7983972	52.14
chr19:13075482-13076991	52.14
chr2:97777967-97779949	52.14
chr21:26979145-26981114	52.14
chr2:179058443-179060496	52.14
chr9:96354635-96355513	52.14
chr7:112509151-112509776	52.14
chr11:12308742-12309652	52.14
chr15:93064614-93065234	52.14
chr9:71838226-71838780	52.14
chr1:35667466-35668251	52.02
chr6:114315933-114316585	51.85
chr19:17535496-17536434	51.8
chr17:11547343-11548290	51.8
chr2:26552683-26553590	51.8
chr2:241795920-241796667	51.8
chr2:235458936-235459684	51.8
chr14:32851714-32852351	51.8
chr8:97176474-97177069	51.8
chr12:53937073-53937849	51.73
chrX:49011973-49013057	51.68
chr5:60954326-60954928	51.66
chr12:109123743-109125850	51.64
chr19:15564635-15565880	51.6
chr6:134175539-134176772	51.55
chr8:101169895-101171006	51.54
chr11:70601398-70602151	51.46
chr10:71168278-71169294	51.43
chr21:42542075-42542932	51.33
chr13:92000324-92001724	51.33
chr6:42499389-42500337	51.33
chr17:1089651-1091064	51.27
chr20:25119516-25120264	51.27
chr2:241377220-241378285	51.21
chr11:45893966-45894670	51.21
chr1:55137685-55138332	51.21
chr3:123751414-123753283	51.14
chr16:55689505-55690685	51.14
chr8:118342089-118342960	51.14
chr20:34802381-34803251	51.12
chr1:3370522-3371937	51.11
chr20:19642982-19643461	51.1
chr17:53603520-53604338	51.09
chr12:117910651-117911429	51.06
chrX:128673875-128674575	51.05
chr15:85130966-85131782	50.96
chr12:8261222-8261914	50.92
chr3:56501603-56503164	50.9
chr10:85965118-85965701	50.9
chr11:44807566-44808372	50.85
chr16:11011808-11013208	50.84
